ticker,date
LIDFA,2023-11-23
NATEN,2023-11-23
SMART,2023-11-24
ICBCT,2023-11-27
MARTI,2023-11-27
MSGYO,2023-11-28
ICBCT,2023-11-29
SUWEN,2023-12-28
SUWEN,2023-12-29
VKING,2024-01-03
DIRIT,2024-01-05
SAMAT,2024-01-17
YAYLA,2024-01-17
PKART,2024-01-24
MEGMT,2024-01-25
ORCAY,2024-01-25
HATSN,2024-01-29
KIMMR,2024-02-05
KSTUR,2024-02-05
JANTS,2024-02-12
KLGYO,2024-02-12
ISYAT,2024-02-13
KLGYO,2024-02-13
KSTUR,2024-02-13
ISYAT,2024-02-14
KLGYO,2024-02-14
ETYAT,2024-02-19
SODSN,2024-02-19
BERA,2024-02-28
AYES,2024-03-01
EKIZ,2024-03-01
KENT,2024-03-11
GSRAY,2024-04-18
KARSN,2024-04-24
AKSGY,2024-04-29
YONGA,2024-04-29
PEKGY,2024-12-05
AVTUR,2024-12-06
ISBTR,2025-01-20
ISBTR,2025-01-21
DAGI,2025-02-25
TEHOL,2025-02-25
UFUK,2025-02-27
TEHOL,2025-02-28
BASCM,2025-03-06
CMENT,2025-03-13
PSGYO,2025-03-13
TKFEN,2025-03-14
KUYAS,2025-03-17
CEMAS,2025-04-02
ISBTR,2025-04-03
SKTAS,2025-04-03
CEMAS,2025-04-07
YONGA,2025-04-07
VKING,2025-04-08
SNPAM,2025-04-09
SNPAM,2025-04-10
TEHOL,2025-04-14
EUREN,2025-04-15
RODRG,2025-04-15
GARFA,2025-04-18
GARFA,2025-04-21
DSTKF,2025-04-25
PETUN,2025-04-29
TGSAS,2025-04-29
VANGD,2025-04-29
ONRYT,2025-04-30
BMSTL,2025-11-17
SKYLP,2025-11-17
ISYAT,2025-12-09
ISYAT,2025-12-10
RUBNS,2025-12-31
SNPAM,2026-01-02
KLGYO,2026-01-09
QNBTR,2026-01-12
KSTUR,2026-01-13
KTLEV,2026-01-13
SARKY,2026-01-13
YYLGD,2026-01-20
OYYAT,2026-01-21
CIMSA,2026-01-28
ZERGY,2026-02-03
TKFEN,2026-02-04
PLTUR,2026-02-11
DURKN,2026-02-16
ORMA,2026-02-17
TATGD,2026-02-18
ERSU,2026-02-24
